"","Cell","Batch","Group","ExpLibSize","Step","sizeFactor"
"Cell756","Cell756","Batch1","1","57734.2070725496","6","0.943617685015567"
"Cell757","Cell757","Batch1","2","71564.4355243221","42","1.15944801480678"
"Cell758","Cell758","Batch1","1","78107.5217998084","71","1.27185964490638"
"Cell759","Cell759","Batch1","4","58647.8839976129","21","0.962916382387409"
"Cell760","Cell760","Batch1","2","67711.6090568603","49","1.10324219975699"
"Cell761","Cell761","Batch1","3","41774.6727973058","69","0.68969868464608"
"Cell762","Cell762","Batch1","1","56809.5072390271","11","0.94996853185477"
"Cell763","Cell763","Batch1","4","47003.2310758668","24","0.766072951286007"
"Cell764","Cell764","Batch1","1","62373.4791573812","55","1.03513880341928"
"Cell765","Cell765","Batch1","1","59706.7990062275","31","0.984561775102937"
"Cell766","Cell766","Batch1","1","57122.8694965739","89","0.937151964977722"
"Cell767","Cell767","Batch1","2","57660.9974090011","56","0.95182291348999"
"Cell768","Cell768","Batch1","3","72421.3637139177","64","1.19397561622715"
"Cell769","Cell769","Batch1","4","58057.9566274193","53","0.956581946005155"
"Cell770","Cell770","Batch1","3","86755.4830457758","98","1.41912708556532"
"Cell771","Cell771","Batch1","2","40911.5021690854","62","0.67619287857718"
"Cell772","Cell772","Batch1","4","64335.0549910725","84","1.06571148471498"
"Cell773","Cell773","Batch1","1","91391.4299882961","16","1.50862971776432"
"Cell774","Cell774","Batch1","4","47707.8008163102","21","0.776001277740059"
"Cell775","Cell775","Batch1","3","51059.5972427418","94","0.823443908779171"
"Cell776","Cell776","Batch1","2","55297.6731609603","53","0.915834781401171"
"Cell777","Cell777","Batch1","1","60982.6580399524","40","0.997099364211855"
"Cell778","Cell778","Batch1","3","57082.9747207814","36","0.92197229230004"
"Cell779","Cell779","Batch1","1","54590.0836583831","69","0.894583239652416"
"Cell780","Cell780","Batch1","4","88015.4918283006","21","1.44052632142661"
"Cell781","Cell781","Batch1","4","61353.7125741705","68","1.03549983347215"
"Cell782","Cell782","Batch1","3","74489.2512400366","82","1.21187942475834"
"Cell783","Cell783","Batch1","3","33042.4542123309","99","0.533799343632047"
"Cell784","Cell784","Batch1","2","75034.0890703471","85","1.23555971413553"
"Cell785","Cell785","Batch1","4","77839.1678125591","79","1.25984719041982"
"Cell786","Cell786","Batch1","1","54365.1392808697","50","0.88429388314549"
"Cell787","Cell787","Batch1","3","57241.1429224244","24","0.927305690808414"
"Cell788","Cell788","Batch1","1","83579.4589193716","65","1.352500630353"
"Cell789","Cell789","Batch1","2","60369.7666506509","73","0.988040791976092"
"Cell790","Cell790","Batch1","1","73690.9274202208","8","1.1990628578813"
"Cell791","Cell791","Batch1","1","67341.2723308405","15","1.10214269914141"
"Cell792","Cell792","Batch1","1","58008.2246955511","31","0.955105004879759"
"Cell793","Cell793","Batch1","4","56476.6703115377","89","0.950739823331366"
"Cell794","Cell794","Batch1","2","45072.1675426711","71","0.747873754529737"
"Cell795","Cell795","Batch1","2","39039.7795976191","8","0.634247750615931"
"Cell796","Cell796","Batch1","3","59605.3121442974","25","0.991421346107554"
"Cell797","Cell797","Batch1","1","63193.3397402571","67","1.04506712987333"
"Cell798","Cell798","Batch1","2","54144.1991001933","45","0.877811752650696"
"Cell799","Cell799","Batch1","4","67925.1388238301","21","1.11914393254042"
"Cell800","Cell800","Batch1","2","65835.4049452773","44","1.09420003797817"
"Cell801","Cell801","Batch1","4","55930.6711567045","79","0.922054344584784"
"Cell802","Cell802","Batch1","1","60471.0678272178","43","0.985497171149021"
"Cell803","Cell803","Batch1","4","77579.0455529452","88","1.27117040571452"
"Cell804","Cell804","Batch1","3","63762.7753755597","57","1.02964130034142"
"Cell805","Cell805","Batch1","1","70285.0574210833","11","1.14689401524092"
"Cell806","Cell806","Batch1","3","65986.9173405109","92","1.09063896882027"
"Cell807","Cell807","Batch1","2","84551.1716177584","94","1.39252573485124"
"Cell808","Cell808","Batch1","4","61113.4084601532","31","0.989649016757079"
"Cell809","Cell809","Batch1","2","49120.5414130111","70","0.798877454726749"
"Cell810","Cell810","Batch1","1","54606.6941774434","70","0.879928701597097"
"Cell811","Cell811","Batch1","2","62788.8192003311","58","1.04308146458252"
"Cell812","Cell812","Batch1","2","56733.5228634068","36","0.907974172522674"
"Cell813","Cell813","Batch1","2","57877.8009098869","62","0.942764341254227"
"Cell814","Cell814","Batch1","4","68389.4460816222","40","1.10870688192095"
"Cell815","Cell815","Batch1","2","51271.4741455217","23","0.848945758877677"
"Cell816","Cell816","Batch1","2","40788.1865773844","3","0.670580502300675"
"Cell817","Cell817","Batch1","4","89667.7550482413","29","1.44262685991606"
"Cell818","Cell818","Batch1","4","65319.2524749731","67","1.07015871854811"
"Cell819","Cell819","Batch1","1","73867.9092063268","24","1.2125686639502"
"Cell820","Cell820","Batch1","3","56250.883795876","52","0.923580517081027"
"Cell821","Cell821","Batch1","2","61005.7574703248","76","0.972746246099768"
"Cell822","Cell822","Batch1","2","38923.8499070413","29","0.64264990457374"
"Cell823","Cell823","Batch1","3","64318.2447538197","40","1.05625906151244"
"Cell824","Cell824","Batch1","4","65747.2393618088","85","1.06910844930339"
"Cell825","Cell825","Batch1","4","49944.2285584087","14","0.817864353416564"
"Cell826","Cell826","Batch1","1","53859.2810022943","39","0.877926625849338"
"Cell827","Cell827","Batch1","1","78332.3023882902","62","1.276470983309"
"Cell828","Cell828","Batch1","2","65767.8773094321","14","1.05965602610085"
"Cell829","Cell829","Batch1","2","56918.6868847562","14","0.940220720427156"
"Cell830","Cell830","Batch1","3","64461.3270965616","8","1.08118654561774"
"Cell831","Cell831","Batch1","3","45736.8026265533","79","0.749301464284287"
"Cell832","Cell832","Batch1","4","75688.921790074","44","1.23866129049886"
"Cell833","Cell833","Batch1","4","40874.1343917363","12","0.674075929630779"
"Cell834","Cell834","Batch1","3","48977.771821619","60","0.806475496294065"
"Cell835","Cell835","Batch1","2","68551.2899683075","90","1.14069086251425"
"Cell836","Cell836","Batch1","2","75392.5956950672","50","1.26849550123186"
"Cell837","Cell837","Batch1","1","42338.326409025","89","0.706027089310181"
"Cell838","Cell838","Batch1","4","67525.5802216159","20","1.11310488438324"
"Cell839","Cell839","Batch1","4","64108.3604611569","47","1.06635149253598"
"Cell840","Cell840","Batch1","2","59453.1447544101","48","0.953135750045897"
"Cell841","Cell841","Batch1","4","52826.4344061018","27","0.869918322858302"
"Cell842","Cell842","Batch1","1","50453.4172086989","89","0.828892180486188"
"Cell843","Cell843","Batch1","1","61719.5224074059","81","1.01108107353227"
"Cell844","Cell844","Batch1","2","76212.0250873371","88","1.23621613241348"
"Cell845","Cell845","Batch1","2","44457.2985075811","85","0.73034738650837"
"Cell846","Cell846","Batch1","2","48529.4046855098","71","0.805195480652055"
"Cell847","Cell847","Batch1","1","83081.2915211784","52","1.35616016225259"
"Cell848","Cell848","Batch1","3","47029.6326416512","94","0.771931484416745"
"Cell849","Cell849","Batch1","3","35410.6883053311","8","0.584474834690082"
"Cell850","Cell850","Batch1","2","60083.6269463471","67","0.971679566398093"
"Cell851","Cell851","Batch1","4","64140.983416547","1","1.04275325544354"
"Cell852","Cell852","Batch1","3","60026.6534940514","10","0.972893940212307"
"Cell853","Cell853","Batch1","1","50277.350849677","83","0.839854365728017"
"Cell854","Cell854","Batch1","4","64123.106698541","14","1.06841921011154"
"Cell855","Cell855","Batch1","1","57787.1926202649","94","0.962637404619279"
"Cell856","Cell856","Batch1","1","71990.2988638495","33","1.17144405883639"
"Cell857","Cell857","Batch1","1","63588.5613675888","63","1.0362218935779"
"Cell858","Cell858","Batch1","3","68780.6236005282","24","1.11422079545577"
"Cell859","Cell859","Batch1","1","63901.2614553303","11","1.03535213935961"
"Cell860","Cell860","Batch1","1","64965.4068269768","84","1.05834318954495"
"Cell861","Cell861","Batch1","1","69700.8959595007","29","1.13347026145676"
"Cell862","Cell862","Batch1","1","37894.8044495638","42","0.614981874157986"
"Cell863","Cell863","Batch1","3","66407.65748056","25","1.10347194615427"
"Cell864","Cell864","Batch1","1","45731.9633083587","32","0.732152536772743"
"Cell865","Cell865","Batch1","1","64384.7428510588","23","1.05675137522091"
"Cell866","Cell866","Batch1","2","77882.029068769","35","1.28062282891706"
"Cell867","Cell867","Batch1","2","54739.388843561","20","0.897323785962874"
"Cell868","Cell868","Batch1","3","50938.1334812778","54","0.847206250441099"
"Cell869","Cell869","Batch1","3","58849.9521846099","94","0.965788212353457"
"Cell870","Cell870","Batch1","1","82214.326526734","86","1.33774762955599"
"Cell871","Cell871","Batch1","2","61096.5995422124","55","1.00404098750122"
"Cell872","Cell872","Batch1","4","61682.3089780968","90","1.02509560376659"
"Cell873","Cell873","Batch1","4","53675.5605644567","42","0.871280390785056"
"Cell874","Cell874","Batch1","1","53877.3196456643","73","0.868638307216292"
"Cell875","Cell875","Batch1","2","58222.4144801559","71","0.966182063320229"
"Cell876","Cell876","Batch1","1","43569.7210656894","76","0.721436508385147"
"Cell877","Cell877","Batch1","1","76635.8937765734","1","1.26557443989497"
"Cell878","Cell878","Batch1","2","55988.91649148","34","0.907563911098953"
"Cell879","Cell879","Batch1","3","40126.7911479806","52","0.651626424524758"
"Cell880","Cell880","Batch1","4","59665.4449025957","42","0.96560769732702"
"Cell881","Cell881","Batch1","2","57057.0327325551","55","0.939761227632588"
"Cell882","Cell882","Batch1","4","41839.7498593325","40","0.687926355295605"
"Cell883","Cell883","Batch1","4","90213.8554408049","27","1.48069912003738"
"Cell884","Cell884","Batch1","4","47884.9471226399","61","0.786471149273422"
"Cell885","Cell885","Batch1","2","45674.2559507307","34","0.755471796097053"
"Cell886","Cell886","Batch1","3","65529.811940483","81","1.04733177293227"
"Cell887","Cell887","Batch1","4","73618.0474789828","28","1.20300136754902"
"Cell888","Cell888","Batch1","3","57573.7987843319","25","0.945898738531456"
"Cell889","Cell889","Batch1","2","62658.9669236951","74","1.03016643496378"
"Cell890","Cell890","Batch1","2","48028.9892357903","68","0.792510197430597"
"Cell891","Cell891","Batch1","1","72479.2413551877","40","1.18115904935011"
"Cell892","Cell892","Batch1","1","63739.9044672718","4","1.05735856212802"
"Cell893","Cell893","Batch1","1","61095.9673791195","91","1.01147492449904"
"Cell894","Cell894","Batch1","1","69537.6132401377","64","1.16112188141557"
"Cell895","Cell895","Batch1","2","73115.2453679719","46","1.19397561622715"
"Cell896","Cell896","Batch1","1","51714.6785604933","4","0.857938689285644"
"Cell897","Cell897","Batch1","2","65918.8057671037","67","1.08789842250982"
"Cell898","Cell898","Batch1","1","49124.3411977361","52","0.79830308873354"
"Cell899","Cell899","Batch1","1","93518.2431051927","96","1.54471631259483"
"Cell900","Cell900","Batch1","1","65601.0722398178","62","1.07426133278533"
"Cell901","Cell901","Batch1","4","59446.7903314553","24","0.972204701020456"
"Cell902","Cell902","Batch1","3","54280.0187139692","34","0.880732813987591"
"Cell903","Cell903","Batch1","1","57290.3042314017","90","0.933935515415748"
"Cell904","Cell904","Batch1","1","48038.5036565264","10","0.790147091629963"
"Cell905","Cell905","Batch1","1","60639.034252331","89","0.99247161535228"
"Cell906","Cell906","Batch1","1","67285.8463457784","47","1.1102330544172"
"Cell907","Cell907","Batch1","1","54031.8102472813","83","0.888921632005065"
"Cell908","Cell908","Batch1","1","50893.4533106111","58","0.8436451812832"
"Cell909","Cell909","Batch1","1","43223.3448749273","11","0.704779894582069"
"Cell910","Cell910","Batch1","1","67089.3868502121","5","1.09973036196993"
"Cell911","Cell911","Batch1","2","64007.5715837942","26","1.06288888611978"
"Cell912","Cell912","Batch1","3","57396.3211118839","35","0.943371528161334"
"Cell913","Cell913","Batch1","3","53625.5232586702","54","0.86297669956894"
"Cell914","Cell914","Batch1","1","63049.29916501","13","1.03208645842679"
"Cell915","Cell915","Batch1","1","45476.8148221111","85","0.751008151806967"
"Cell916","Cell916","Batch1","2","44598.2174704623","17","0.73476179942761"
"Cell917","Cell917","Batch1","1","44844.5823550211","28","0.738749540466179"
"Cell918","Cell918","Batch1","3","55700.3837275556","78","0.921627672704114"
"Cell919","Cell919","Batch1","3","70132.5283313205","37","1.13763851752177"
"Cell920","Cell920","Batch1","4","69073.8547096047","52","1.12741480284264"
"Cell921","Cell921","Batch1","2","53474.9873044906","19","0.876843535690714"
"Cell922","Cell922","Batch1","4","79507.1998494549","13","1.30740469465757"
"Cell923","Cell923","Batch1","4","47612.4063470254","53","0.776099740481752"
"Cell924","Cell924","Batch1","1","54254.2405630974","5","0.901278706087545"
"Cell925","Cell925","Batch1","4","51709.1250679211","15","0.851013476453232"
"Cell926","Cell926","Batch1","4","61811.6054377903","57","1.02023810850973"
"Cell927","Cell927","Batch1","3","42182.5289407319","32","0.687647377527474"
"Cell928","Cell928","Batch1","1","75884.3821480855","81","1.23908796237953"
"Cell929","Cell929","Batch1","2","76222.0690791529","41","1.25768101010257"
"Cell930","Cell930","Batch1","2","72804.2684707638","50","1.18005954873453"
"Cell931","Cell931","Batch1","3","58900.3110842156","4","0.963983062089084"
"Cell932","Cell932","Batch1","4","75452.0538013668","58","1.25507174744771"
"Cell933","Cell933","Batch1","1","65996.6503435724","42","1.06566225334413"
"Cell934","Cell934","Batch1","1","72531.0287874349","20","1.20137673231108"
"Cell935","Cell935","Batch1","3","62041.4801026645","38","1.01792423407994"
"Cell936","Cell936","Batch1","3","63478.095728002","17","1.04099733655002"
"Cell937","Cell937","Batch1","4","39235.2894968197","61","0.641845792183246"
"Cell938","Cell938","Batch1","2","53765.6688951257","56","0.874152220751104"
"Cell939","Cell939","Batch1","4","73335.869264691","88","1.20520036878016"
"Cell940","Cell940","Batch1","2","61099.1924548903","13","1.0334321158966"
"Cell941","Cell941","Batch1","1","46922.77882183","56","0.781318265791485"
"Cell942","Cell942","Batch1","4","49430.5850144699","31","0.795939982932906"
"Cell943","Cell943","Batch1","1","53575.143727829","100","0.868277277163417"
"Cell944","Cell944","Batch1","2","91525.7088034832","64","1.50933536741312"
"Cell945","Cell945","Batch1","2","57761.7460488733","47","0.972500089245535"
"Cell946","Cell946","Batch1","2","52630.5968277749","96","0.878156372246622"
"Cell947","Cell947","Batch1","3","39398.5087525109","66","0.645817122764867"
"Cell948","Cell948","Batch1","3","40930.2972745964","99","0.669842031737977"
"Cell949","Cell949","Batch1","4","76454.4222945987","36","1.26360518506111"
"Cell950","Cell950","Batch1","4","50501.37849007","70","0.813351477755631"
"Cell951","Cell951","Batch1","1","82804.7392944922","39","1.37913480198098"
"Cell952","Cell952","Batch1","1","56060.0905307121","64","0.911568062594472"
"Cell953","Cell953","Batch1","3","37598.4496010036","86","0.619150130222993"
"Cell954","Cell954","Batch1","4","92836.9121482892","14","1.54620966417717"
"Cell955","Cell955","Batch1","2","48218.7874262049","41","0.78650397018732"
"Cell956","Cell956","Batch1","1","54107.4848033319","4","0.899637660392661"
"Cell957","Cell957","Batch1","4","61033.8429254722","33","0.996377304106105"
"Cell958","Cell958","Batch1","1","58452.336966063","85","0.957582983879034"
"Cell959","Cell959","Batch1","2","44190.5601533522","60","0.721896001179715"
"Cell960","Cell960","Batch1","1","44262.0525531471","100","0.727245810145039"
"Cell961","Cell961","Batch1","2","79151.6558619863","41","1.29099423770873"
"Cell962","Cell962","Batch1","2","51964.4760479381","72","0.852802216260656"
"Cell963","Cell963","Batch1","1","70656.6613733043","16","1.15265408562996"
"Cell964","Cell964","Batch1","3","84250.6166472247","13","1.38901389706418"
"Cell965","Cell965","Batch1","2","51234.41169195","74","0.838984611509728"
"Cell966","Cell966","Batch1","1","51980.305542983","97","0.856806367756174"
"Cell967","Cell967","Batch1","2","40191.8492026744","14","0.676225699491078"
"Cell968","Cell968","Batch1","4","87550.8727787601","91","1.42528100692113"
"Cell969","Cell969","Batch1","4","51470.2172130543","7","0.839279999734807"
"Cell970","Cell970","Batch1","3","55515.017241118","1","0.914833743527292"
"Cell971","Cell971","Batch1","4","45579.304313356","41","0.751713801455767"
"Cell972","Cell972","Batch1","2","69452.0337812869","3","1.12186806839393"
"Cell973","Cell973","Batch1","2","82635.5454446816","26","1.36712234749442"
"Cell974","Cell974","Batch1","4","62659.9326325711","19","1.0170052484908"
"Cell975","Cell975","Batch1","1","55265.0988952294","30","0.914423482103571"
"Cell976","Cell976","Batch1","1","42876.7036978334","93","0.702104990099407"
"Cell977","Cell977","Batch1","1","80671.4667173102","9","1.31324681733136"
"Cell978","Cell978","Batch1","3","68754.5012862222","82","1.12583939897555"
"Cell979","Cell979","Batch1","3","59385.4487419954","22","0.965591286870071"
"Cell980","Cell980","Batch1","4","76181.1221779903","78","1.25082143909796"
"Cell981","Cell981","Batch1","1","77629.5158476021","18","1.26780626204001"
"Cell982","Cell982","Batch1","1","54587.3033791377","69","0.899998690445535"
"Cell983","Cell983","Batch1","4","46856.5108581004","55","0.778315152169846"
"Cell984","Cell984","Batch1","2","72595.1468528182","9","1.1932863770353"
"Cell985","Cell985","Batch1","1","68778.2091025713","26","1.11192333148293"
"Cell986","Cell986","Batch1","2","54161.270566725","7","0.901606915226522"
"Cell987","Cell987","Batch1","2","112509.650975578","21","1.8337701012918"
"Cell988","Cell988","Batch1","2","35960.580126181","7","0.599309887771839"
"Cell989","Cell989","Batch1","4","59776.7688107202","29","0.976651934853593"
"Cell990","Cell990","Batch1","2","75188.6921431448","74","1.24627574252313"
"Cell991","Cell991","Batch1","1","80536.7832309069","26","1.31552787084725"
"Cell992","Cell992","Batch1","2","72778.0008064635","32","1.18875709091742"
"Cell993","Cell993","Batch1","3","61677.2275721808","56","1.01749756219927"
"Cell994","Cell994","Batch1","1","70107.2682353375","86","1.17329844047161"
"Cell995","Cell995","Batch1","1","66937.6082213867","44","1.10841149369587"
"Cell996","Cell996","Batch1","3","59546.9955762971","100","0.968856967802891"
"Cell997","Cell997","Batch1","3","50240.9147329243","12","0.817273576966405"
"Cell998","Cell998","Batch1","1","76362.62807435","98","1.25640099446056"
"Cell999","Cell999","Batch1","1","55812.3269773971","36","0.928799042390759"
"Cell1000","Cell1000","Batch1","1","56450.6100554819","84","0.931277021390035"
"Cell1001","Cell1001","Batch1","2","62983.4682300642","8","1.02798384418958"
"Cell1002","Cell1002","Batch1","3","60011.9865548162","91","0.99375163099429"
"Cell1003","Cell1003","Batch1","2","40329.6902541893","24","0.673042070843002"
"Cell1004","Cell1004","Batch1","4","54980.5439477853","42","0.90050741461095"
"Cell1005","Cell1005","Batch1","1","67674.2148080428","99","1.10631095520642"
"Cell1006","Cell1006","Batch1","1","76585.4830743146","62","1.25118246915083"
"Cell1007","Cell1007","Batch1","2","46436.3779411765","71","0.758146700579715"
"Cell1008","Cell1008","Batch1","2","52569.3677699496","61","0.866800336038021"
"Cell1009","Cell1009","Batch1","4","36730.6469587063","21","0.598243208070164"
"Cell1010","Cell1010","Batch1","3","73079.9786907338","13","1.20835117651434"
"Cell1011","Cell1011","Batch1","4","59935.406662788","96","0.971778029139786"
"Cell1012","Cell1012","Batch1","2","70136.9440017835","21","1.12749685512738"
"Cell1013","Cell1013","Batch1","1","53495.974798466","26","0.879009716007962"
"Cell1014","Cell1014","Batch1","4","62490.2135672295","37","1.03440033285658"
"Cell1015","Cell1015","Batch1","2","72796.0178495922","91","1.1947961390746"
"Cell1016","Cell1016","Batch1","4","57134.7492860007","94","0.941681251095603"
"Cell1017","Cell1017","Batch1","4","70950.1013310585","86","1.17356100778279"
"Cell1018","Cell1018","Batch1","1","68240.5456456394","29","1.12186806839393"
"Cell1019","Cell1019","Batch1","1","43559.6261565434","46","0.718728782988588"
"Cell1020","Cell1020","Batch1","1","63696.4829030342","46","1.05655444973752"
"Cell1021","Cell1021","Batch1","1","36417.458291053","74","0.60228018047958"
"Cell1022","Cell1022","Batch1","4","56631.0204496805","16","0.933246276223897"
"Cell1023","Cell1023","Batch1","1","53611.1982672121","3","0.877368670313078"
"Cell1024","Cell1024","Batch1","4","71339.7114763099","58","1.16868710206898"
"Cell1025","Cell1025","Batch1","1","63493.7489871759","39","1.03897885034531"
"Cell1026","Cell1026","Batch1","3","53133.1119779622","27","0.879403566974734"
"Cell1027","Cell1027","Batch1","2","58020.9411885265","15","0.955728602243815"
"Cell1028","Cell1028","Batch1","1","62120.8532112035","81","1.03110183100986"
"Cell1029","Cell1029","Batch1","2","48893.1995429279","44","0.819521809568397"
"Cell1030","Cell1030","Batch1","3","52262.3402540184","64","0.847747795520411"
"Cell1031","Cell1031","Batch1","2","46698.2176558041","66","0.763119069035215"
"Cell1032","Cell1032","Batch1","2","44046.2832768271","46","0.719007760756718"
"Cell1033","Cell1033","Batch1","2","53911.1175083174","99","0.88288258384789"
"Cell1034","Cell1034","Batch1","4","59652.6900002073","8","0.97328779117908"
"Cell1035","Cell1035","Batch1","3","43755.4110713295","54","0.738815182293975"
"Cell1036","Cell1036","Batch1","1","65747.066615976","64","1.07161924921656"
"Cell1037","Cell1037","Batch1","2","52388.072858893","95","0.856478158617197"
"Cell1038","Cell1038","Batch1","2","63717.6237912822","48","1.04578918997908"
"Cell1039","Cell1039","Batch1","4","61605.7322275168","79","1.00778257168555"
"Cell1040","Cell1040","Batch1","1","55558.5698476444","16","0.913685011540873"
"Cell1041","Cell1041","Batch1","1","40579.3552462633","80","0.656106479271793"
"Cell1042","Cell1042","Batch1","1","43497.7171846494","80","0.713608720420548"
"Cell1043","Cell1043","Batch1","3","36021.3979299794","50","0.584277909206696"
"Cell1044","Cell1044","Batch1","2","78622.2053952323","22","1.28922190835825"
"Cell1045","Cell1045","Batch1","1","55707.3179798576","50","0.921102538081751"
"Cell1046","Cell1046","Batch1","2","88192.6991218807","18","1.44141248610185"
"Cell1047","Cell1047","Batch1","2","44748.949138723","27","0.725292965768126"
"Cell1048","Cell1048","Batch1","2","80529.68407095","79","1.31257398859646"
"Cell1049","Cell1049","Batch1","2","74252.2921733192","44","1.2146856128966"
"Cell1050","Cell1050","Batch1","4","51457.0274418918","67","0.835029691385056"
"Cell1051","Cell1051","Batch1","1","69065.9489425204","63","1.12616760811452"
"Cell1052","Cell1052","Batch1","2","67257.0366268317","63","1.10673762708709"
"Cell1053","Cell1053","Batch1","2","58142.6771413025","31","0.963736905234852"
"Cell1054","Cell1054","Batch1","4","80934.5721076761","77","1.3389620033702"
"Cell1055","Cell1055","Batch1","4","56618.6361926542","99","0.944946932028423"
"Cell1056","Cell1056","Batch1","1","89818.6347479939","70","1.46883435966337"
"Cell1057","Cell1057","Batch1","3","47138.8113489639","100","0.766155003570751"
"Cell1058","Cell1058","Batch1","2","77844.1148459613","59","1.26189849753843"
"Cell1059","Cell1059","Batch1","2","53916.8593517383","39","0.873413750188406"
"Cell1060","Cell1060","Batch1","1","64270.1069108514","89","1.05192670087795"
"Cell1061","Cell1061","Batch1","1","59021.9744861341","53","0.956532714634308"
"Cell1062","Cell1062","Batch1","4","58300.8025869015","88","0.959519417798998"
"Cell1063","Cell1063","Batch1","4","58828.6654723319","1","0.979474533448794"
"Cell1064","Cell1064","Batch1","1","71937.8467969841","79","1.19025044249977"
"Cell1065","Cell1065","Batch1","2","60251.8076187587","99","0.983330990831773"
"Cell1066","Cell1066","Batch1","4","78573.2128130766","78","1.29050192400026"
"Cell1067","Cell1067","Batch1","2","61248.765249984","33","1.02043503399311"
"Cell1068","Cell1068","Batch1","1","61998.2420298524","91","1.02096016861548"
"Cell1069","Cell1069","Batch1","4","59237.1358556002","69","0.980344287667083"
"Cell1070","Cell1070","Batch1","2","54997.7961378777","91","0.898013025154725"
"Cell1071","Cell1071","Batch1","1","62416.3357161909","42","1.01674268117962"
"Cell1072","Cell1072","Batch1","1","73027.0050239701","35","1.20799014646147"
"Cell1073","Cell1073","Batch1","3","70457.9655528898","80","1.15628079661566"
"Cell1074","Cell1074","Batch1","2","73072.0424798292","25","1.1841457525148"
"Cell1075","Cell1075","Batch1","4","84672.7287504267","28","1.40371766649035"
"Cell1076","Cell1076","Batch1","2","64306.0121163308","78","1.05020360289832"
"Cell1077","Cell1077","Batch1","3","61768.2814729564","92","1.03848653663684"
"Cell1078","Cell1078","Batch1","1","81679.4509826962","31","1.33535170284146"
"Cell1079","Cell1079","Batch1","2","59111.8136770477","24","0.964278450314163"
"Cell1080","Cell1080","Batch1","2","48940.2893033323","10","0.804670346029692"
"Cell1081","Cell1081","Batch1","2","50082.1980341251","14","0.827004977937071"
"Cell1082","Cell1082","Batch1","2","52527.7602635218","50","0.866554179183788"
"Cell1083","Cell1083","Batch1","3","44947.1859661879","95","0.744969103649792"
"Cell1084","Cell1084","Batch1","1","79509.9039316334","24","1.29800150282589"
"Cell1085","Cell1085","Batch1","3","53168.5782767599","21","0.872773742367401"
"Cell1086","Cell1086","Batch1","4","74891.4012323454","15","1.20828553468655"
"Cell1087","Cell1087","Batch1","2","96453.5006511101","35","1.58474141709306"
"Cell1088","Cell1088","Batch1","1","55234.4814486685","65","0.899293040796735"
"Cell1089","Cell1089","Batch1","4","64474.2831025408","29","1.06121501951099"
"Cell1090","Cell1090","Batch1","2","53366.6552961749","25","0.88316156161602"
"Cell1091","Cell1091","Batch1","2","107349.566105378","79","1.76533849581511"
"Cell1092","Cell1092","Batch1","3","48253.1814844847","52","0.791033256305201"
"Cell1093","Cell1093","Batch1","1","75788.2287363992","87","1.23183454040814"
"Cell1094","Cell1094","Batch1","1","71247.8950570686","51","1.16189317289216"
"Cell1095","Cell1095","Batch1","3","72130.5724592745","80","1.17523487439157"
"Cell1096","Cell1096","Batch1","3","73492.3240842795","27","1.18959402422181"
"Cell1097","Cell1097","Batch1","1","67683.3175478668","7","1.1073119930803"
"Cell1098","Cell1098","Batch1","2","67618.5759400801","50","1.11061049492702"
"Cell1099","Cell1099","Batch1","3","50082.2362310038","88","0.821458243488361"
"Cell1100","Cell1100","Batch1","4","65539.4231856936","86","1.06167451230556"
"Cell1101","Cell1101","Batch1","3","55551.0412127315","6","0.906480820940329"
"Cell1102","Cell1102","Batch1","1","105665.849318748","19","1.73499556091669"
"Cell1103","Cell1103","Batch1","2","69319.3031168897","43","1.131468185709"
"Cell1104","Cell1104","Batch1","1","70834.6655062855","61","1.15938237297899"
"Cell1105","Cell1105","Batch1","1","38409.8638441004","27","0.633673384622721"
"Cell1106","Cell1106","Batch1","3","45913.168190487","60","0.766384749968035"
"Cell1107","Cell1107","Batch1","2","49250.1582784631","84","0.81806127889995"
"Cell1108","Cell1108","Batch1","2","53241.0410164249","51","0.848945758877677"
"Cell1109","Cell1109","Batch1","4","53444.4158619963","99","0.873725548870434"
"Cell1110","Cell1110","Batch1","2","68099.7071166699","68","1.11694493130927"
"Cell1111","Cell1111","Batch1","1","57098.8113528022","69","0.926813377099949"
"Cell1112","Cell1112","Batch1","3","56403.3816971876","66","0.929340587470071"
"Cell1113","Cell1113","Batch1","1","75956.2284456577","3","1.24637420526482"
"Cell1114","Cell1114","Batch1","3","39269.8276701224","37","0.647146369777724"
"Cell1115","Cell1115","Batch1","3","59003.0017788291","13","0.97512576235735"
"Cell1116","Cell1116","Batch1","2","71159.6037875583","33","1.17992826507894"
"Cell1117","Cell1117","Batch1","2","74231.3236944183","69","1.20700551904454"
"Cell1118","Cell1118","Batch1","3","57459.1462325384","66","0.947490552855494"
"Cell1119","Cell1119","Batch1","2","54900.472472024","23","0.904921827530189"
"Cell1120","Cell1120","Batch1","3","57731.3275202729","50","0.945357193452145"
"Cell1121","Cell1121","Batch1","1","54928.315820805","52","0.888051877786776"
"Cell1122","Cell1122","Batch1","3","54999.4287564119","71","0.893779127261923"
"Cell1123","Cell1123","Batch1","2","45671.7884052995","11","0.737124905228244"
"Cell1124","Cell1124","Batch1","4","57565.6324756438","11","0.952331637655404"
"Cell1125","Cell1125","Batch1","3","62744.3132482548","99","1.02798384418958"
"Cell1126","Cell1126","Batch1","4","53560.0504209294","5","0.879206641491348"
